Elapsed_s,Battery_Wh
0.0,1100.0
3600.0,1100.0
7200.0,1100.0
10800.0,1100.0
14400.0,1100.0
18000.0,1100.0
21600.0,1100.0
25200.0,1100.0
28800.0,1100.0
32400.0,1100.0
36000.0,1100.0
39600.0,1100.0
43200.0,1100.0
46800.0,1100.0
50400.0,1100.0
54000.0,1100.0
57600.0,1100.0
61200.0,1100.0
64800.0,1100.0
68400.0,1100.0
72000.0,1100.0
75600.0,1100.0
79200.0,1100.0
82800.0,1100.0
86400.0,1100.0
90000.0,1100.0
93600.0,1100.0
97200.0,1100.0
100800.0,1100.0
104400.0,1100.0
108000.0,1100.0
111600.0,1100.0
115200.0,1100.0
118800.0,1100.0
122400.0,1100.0
126000.0,1100.0
129600.0,1100.0
133200.0,1100.0
136800.0,1100.0
140400.0,1100.0
144000.0,1100.0
147600.0,1100.0
151200.0,1100.0
154800.0,1100.0
158400.0,1100.0
162000.0,1100.0
165600.0,1100.0
169200.0,1100.0
172800.0,1100.0
176400.0,1100.0
180000.0,1100.0
183600.0,1100.0
187200.0,1100.0
190800.0,1100.0
194400.0,1100.0
198000.0,1100.0
201600.0,1100.0
205200.0,1100.0
208800.0,1100.0
212400.0,1100.0
216000.0,1100.0
219600.0,1100.0
223200.0,1100.0
226800.0,1100.0
230400.0,1100.0
234000.0,1100.0
237600.0,1100.0
241200.0,1100.0
244800.0,1100.0
248400.0,1100.0
252000.0,1100.0
255600.0,1100.0
259200.0,1100.0
262800.0,1100.0
266400.0,1100.0
270000.0,1100.0
273600.0,1100.0
277200.0,1100.0
280800.0,1100.0
284400.0,1100.0
288000.0,1100.0
291600.0,1100.0
295200.0,1100.0
298800.0,1100.0
302400.0,1100.0
306000.0,1100.0
309600.0,1100.0
313200.0,1100.0
316800.0,1100.0
320400.0,1100.0
324000.0,1100.0
327600.0,1100.0
331200.0,1100.0
334800.0,1100.0
338400.0,1100.0
342000.0,1100.0
345600.0,1100.0
349200.0,1100.0
352800.0,1100.0
356400.0,1100.0
360000.0,1100.0
363600.0,1100.0
367200.0,1100.0
370800.0,1100.0
374400.0,1100.0
378000.0,1100.0
381600.0,1100.0
385200.0,1100.0
388800.0,1100.0
392400.0,1100.0
396000.0,1100.0
399600.0,1100.0
403200.0,1100.0
406800.0,1100.0
410400.0,1100.0
414000.0,1100.0
417600.0,1100.0
421200.0,1100.0
424800.0,1100.0
428400.0,1100.0
432000.0,1100.0
435600.0,1100.0
439200.0,1100.0
442800.0,1100.0
446400.0,1100.0
450000.0,1100.0
453600.0,1100.0
457200.0,1100.0
460800.0,1100.0
464400.0,1100.0
468000.0,1100.0
471600.0,1100.0
475200.0,1100.0
478800.0,1100.0
482400.0,1100.0
486000.0,1100.0
489600.0,1100.0
493200.0,1100.0
496800.0,1100.0
500400.0,1100.0
504000.0,1100.0
507600.0,1100.0
511200.0,1100.0
514800.0,1100.0
518400.0,1100.0
522000.0,1100.0
525600.0,1100.0
529200.0,1100.0
532800.0,1100.0
536400.0,1100.0
540000.0,1100.0
543600.0,1100.0
547200.0,1100.0
550800.0,1100.0
554400.0,1100.0
558000.0,1100.0
561600.0,1100.0
565200.0,1100.0
568800.0,1100.0
572400.0,1100.0
576000.0,1100.0
579600.0,1100.0
583200.0,1100.0
586800.0,1100.0
590400.0,1100.0
594000.0,1100.0
597600.0,1100.0
601200.0,1100.0
604800.0,1100.0
608400.0,1100.0
612000.0,1100.0
615600.0,1100.0
619200.0,1100.0
622800.0,1100.0
626400.0,1100.0
630000.0,1100.0
633600.0,1100.0
637200.0,1100.0
640800.0,1100.0
644400.0,1100.0
648000.0,1100.0
651600.0,1100.0
655200.0,1100.0
658800.0,1100.0
662400.0,1100.0
666000.0,1100.0
669600.0,1100.0
673200.0,1100.0
676800.0,1100.0
680400.0,1100.0
684000.0,1100.0
687600.0,1100.0
691200.0,1100.0
694800.0,1100.0
698400.0,1100.0
702000.0,1100.0
705600.0,1100.0
709200.0,1100.0
712800.0,1100.0
716400.0,1100.0
720000.0,1100.0
723600.0,1100.0
727200.0,1100.0
730800.0,1100.0
734400.0,1100.0
738000.0,1100.0
741600.0,1100.0
745200.0,1100.0
748800.0,1100.0
752400.0,1100.0
756000.0,1100.0
759600.0,1100.0
763200.0,1100.0
766800.0,1100.0
770400.0,1100.0
774000.0,1100.0
777600.0,1100.0
781200.0,1100.0
784800.0,1100.0
788400.0,1100.0
792000.0,1100.0
795600.0,1100.0
799200.0,1100.0
802800.0,1100.0
806400.0,1100.0
810000.0,1100.0
813600.0,1100.0
817200.0,1100.0
820800.0,1100.0
824400.0,1100.0
828000.0,1100.0
831600.0,1100.0
835200.0,1100.0
838800.0,1100.0
842400.0,1100.0
846000.0,1100.0
849600.0,1100.0
853200.0,1100.0
856800.0,1100.0
860400.0,1100.0
864000.0,1100.0
867600.0,1100.0
871200.0,1100.0
874800.0,1100.0
878400.0,1100.0
882000.0,1100.0
885600.0,1100.0
889200.0,1100.0
892800.0,1100.0
896400.0,1100.0
900000.0,1100.0
903600.0,1100.0
907200.0,1100.0
910800.0,1100.0
914400.0,1100.0
918000.0,1100.0
921600.0,1100.0
925200.0,1100.0
928800.0,1100.0
932400.0,1100.0
936000.0,1100.0
939600.0,1100.0
943200.0,1100.0
946800.0,1100.0
950400.0,1100.0
954000.0,1100.0
957600.0,1100.0
961200.0,1100.0
964800.0,1100.0
968400.0,1100.0
972000.0,1100.0
975600.0,1100.0
979200.0,1100.0
982800.0,1100.0
986400.0,1100.0
990000.0,1100.0
993600.0,1100.0
997200.0,1100.0
1000800.0,1100.0
1004400.0,1100.0
1008000.0,1100.0
1011600.0,1100.0
1015200.0,1100.0
1018800.0,1100.0
1022400.0,783.4736842105262
1026000.0,1100.0
1029600.0,783.4736842105262
1033200.0,1100.0
1036800.0,783.4736842105262
1040400.0,1100.0
1044000.0,783.4736842105262
1047600.0,1100.0
1051200.0,783.4736842105262
1054800.0,1100.0
1058400.0,783.4736842105262
1062000.0,1100.0
1065600.0,783.4736842105262
1069200.0,1100.0
1072800.0,783.4736842105262
1076400.0,1100.0
1080000.0,515.0526315789473
1083600.0,928.4226315789473
1087200.0,611.8963157894734
1090800.0,795.7663157894734
1094400.0,1100.0
1098000.0,783.4736842105262
1101600.0,1100.0
1105200.0,783.4736842105262
1108800.0,1100.0
1112400.0,783.4736842105262
1116000.0,1100.0
1119600.0,783.4736842105262
1123200.0,1100.0
1126800.0,783.4736842105262
1130400.0,1100.0
1134000.0,783.4736842105262
1137600.0,1100.0
1141200.0,783.4736842105262
1144800.0,1100.0
1148400.0,783.4736842105262
1152000.0,1100.0
1155600.0,783.4736842105262
1159200.0,1100.0
1162800.0,783.4736842105262
1166400.0,1100.0
1170000.0,783.4736842105262
1173600.0,1100.0
1177200.0,783.4736842105262
1180800.0,967.3436842105262
1184400.0,650.8173684210524
1188000.0,1064.1873684210523
1191600.0,479.23999999999955
1195200.0,892.6099999999996
1198800.0,576.0836842105257
1202400.0,989.4536842105257
1206000.0,672.9273684210518
1209600.0,1086.297368421052
1213200.0,769.7710526315782
1216800.0,1100.0
1220400.0,783.4736842105262
1224000.0,1100.0
1227600.0,783.4736842105262
1231200.0,1100.0
1234800.0,783.4736842105262
1238400.0,1100.0
1242000.0,783.4736842105262
1245600.0,1100.0
1249200.0,783.4736842105262
1252800.0,1100.0
1256400.0,783.4736842105262
1260000.0,1100.0
1263600.0,783.4736842105262
1267200.0,1100.0
1270800.0,783.4736842105262
1274400.0,1100.0
1278000.0,783.4736842105262
1281600.0,1100.0
1285200.0,783.4736842105262
1288800.0,1100.0
1292400.0,783.4736842105262
1296000.0,1100.0
1299600.0,783.4736842105262
1303200.0,1100.0
1306800.0,783.4736842105262
1310400.0,1100.0
1314000.0,783.4736842105262
1317600.0,1100.0
1321200.0,783.4736842105262
1324800.0,1100.0
1328400.0,783.4736842105262
1332000.0,1100.0
1335600.0,783.4736842105262
1339200.0,1100.0
1342800.0,783.4736842105262
1346400.0,1100.0
1350000.0,783.4736842105262
1353600.0,1100.0
1357200.0,783.4736842105262
1360800.0,1100.0
1364400.0,783.4736842105262
1368000.0,1100.0
1371600.0,783.4736842105262
1375200.0,1100.0
1378800.0,783.4736842105262
1382400.0,1100.0
1386000.0,783.4736842105262
1389600.0,1100.0
1393200.0,783.4736842105262
1396800.0,1100.0
1400400.0,783.4736842105262
1404000.0,1100.0
1407600.0,783.4736842105262
1411200.0,1100.0
1414800.0,783.4736842105262
1418400.0,1100.0
1422000.0,783.4736842105262
1425600.0,1100.0
1429200.0,783.4736842105262
1432800.0,1100.0
1436400.0,783.4736842105262
1440000.0,1100.0
1443600.0,783.4736842105262
1447200.0,1100.0
1450800.0,783.4736842105262
1454400.0,1100.0
1458000.0,783.4736842105262
1461600.0,1100.0
1465200.0,783.4736842105262
1468800.0,1100.0
1472400.0,783.4736842105262
1476000.0,1100.0
1479600.0,783.4736842105262
1483200.0,1100.0
1486800.0,783.4736842105262
1490400.0,1100.0
1494000.0,783.4736842105262
1497600.0,1100.0
1501200.0,783.4736842105262
1504800.0,1100.0
1508400.0,783.4736842105262
1512000.0,1100.0
1515600.0,783.4736842105262
1519200.0,1100.0
1522800.0,783.4736842105262
1526400.0,1100.0
1530000.0,783.4736842105262
1533600.0,1100.0
1537200.0,783.4736842105262
1540800.0,1100.0
1544400.0,783.4736842105262
1548000.0,1100.0
1551600.0,783.4736842105262
1555200.0,1100.0
1558800.0,783.4736842105262
1562400.0,1100.0
1566000.0,783.4736842105262
1569600.0,1100.0
1573200.0,783.4736842105262
1576800.0,1100.0
1580400.0,783.4736842105262
1584000.0,1100.0
1587600.0,783.4736842105262
1591200.0,1100.0
1594800.0,783.4736842105262
1598400.0,1100.0
