Elapsed_s,Generated_W,Consumed_W,Net_W,Illumination
0.0,38.25,0.0,38.25,1.0
3600.0,38.25,30.775,7.475000000000001,1.0
7200.0,38.25,30.775,7.475000000000001,1.0
10800.0,38.25,30.775,7.475000000000001,1.0
14400.0,38.25,30.775,7.475000000000001,1.0
18000.0,38.25,30.775,7.475000000000001,1.0
21600.0,38.25,30.775,7.475000000000001,1.0
25200.0,38.25,30.775,7.475000000000001,1.0
28800.0,38.25,30.775,7.475000000000001,1.0
32400.0,38.25,30.775,7.475000000000001,1.0
36000.0,38.25,30.775,7.475000000000001,1.0
39600.0,38.25,30.775,7.475000000000001,1.0
43200.0,38.25,30.775,7.475000000000001,1.0
46800.0,38.25,30.775,7.475000000000001,1.0
50400.0,38.25,30.775,7.475000000000001,1.0
54000.0,38.25,30.775,7.475000000000001,1.0
57600.0,38.25,30.775,7.475000000000001,1.0
61200.0,38.25,30.775,7.475000000000001,1.0
64800.0,38.25,30.775,7.475000000000001,1.0
68400.0,38.25,30.775,7.475000000000001,1.0
72000.0,38.25,30.775,7.475000000000001,1.0
75600.0,38.25,30.775,7.475000000000001,1.0
79200.0,38.25,30.775,7.475000000000001,1.0
82800.0,38.25,30.775,7.475000000000001,1.0
86400.0,38.25,30.775,7.475000000000001,1.0
90000.0,38.25,30.775,7.475000000000001,1.0
93600.0,38.25,30.775,7.475000000000001,1.0
97200.0,38.25,30.775,7.475000000000001,1.0
100800.0,38.25,30.775,7.475000000000001,1.0
104400.0,38.25,30.775,7.475000000000001,1.0
108000.0,38.25,30.775,7.475000000000001,1.0
111600.0,38.25,30.775,7.475000000000001,1.0
115200.0,38.25,30.775,7.475000000000001,1.0
118800.0,38.25,30.775,7.475000000000001,1.0
122400.0,38.25,30.775,7.475000000000001,1.0
126000.0,38.25,30.775,7.475000000000001,1.0
129600.0,38.25,30.775,7.475000000000001,1.0
133200.0,38.25,30.775,7.475000000000001,1.0
136800.0,38.25,30.775,7.475000000000001,1.0
140400.0,38.25,30.775,7.475000000000001,1.0
144000.0,38.25,30.775,7.475000000000001,1.0
147600.0,38.25,30.775,7.475000000000001,1.0
151200.0,38.25,30.775,7.475000000000001,1.0
154800.0,38.25,30.775,7.475000000000001,1.0
158400.0,38.25,30.775,7.475000000000001,1.0
162000.0,38.25,30.775,7.475000000000001,1.0
165600.0,38.25,30.775,7.475000000000001,1.0
169200.0,38.25,30.775,7.475000000000001,1.0
