Elapsed_s,Altitude_km,Density_kg_m3,Inclination_deg,Eccentricity,RAAN_deg
0.0,320.0000666766163,1.7246254133989596e-11,96.7,1.0000000161269895e-08,11.500000000000004
3600.0,327.7681069685238,1.226301504203733e-11,96.7064680901765,0.0009757355557993207,11.537030531445609
7200.0,329.92770454808914,9.350330946918829e-12,96.7092487674093,0.001284064068446525,11.585578757151609
10800.0,320.0961299010271,1.676973133438867e-11,96.70173335628202,0.00016637303575866053,11.622974090085235
14400.0,325.4193132416497,1.1864840656423533e-11,96.70943097053585,0.0006754436180139715,11.658230042072624
18000.0,331.37677665973837,9.43970056027652e-12,96.71312435837508,0.0014984041810528026,11.707166990479731
21600.0,320.8278193388276,1.6053367690684684e-11,96.70555958808175,0.00033698371081105315,11.747933963701772
25200.0,322.9136636579358,1.1426851864483784e-11,96.71025756635183,0.00034780965152634614,11.781378031924032
28800.0,332.53943812060754,9.625578707896619e-12,96.71384612651623,0.0016871823244920933,11.828677977193559
32400.0,322.060510994983,1.5362261062408217e-11,96.70600736066768,0.0005542467983015231,11.87108780076862
36000.0,320.3325236095642,1.1507355792347273e-11,96.70599732797339,0.00012626362393218843,11.90261840004485
39600.0,333.7110682914536,9.919291385719122e-12,96.71298318671697,0.0018822556291807244,11.949501819093335
43200.0,323.3108745279085,1.5035048384184974e-11,96.70355955065577,0.0007605387136976078,11.995549870157332
46800.0,318.39591436616917,1.2123030857694396e-11,96.70410919377139,0.00030261941036120407,12.028085794666955
50400.0,334.0482819580391,1.0424104402895331e-11,96.71135415889421,0.001957648670429282,12.074043596611881
54000.0,324.7484927900415,1.4940002029591016e-11,96.70571104752926,0.0009597787178622479,12.119194503103856
57600.0,316.39587017925516,1.3180140628271318e-11,96.70618100929335,0.0005546337318513391,12.151092326039196
61200.0,334.008528461582,1.0885346675756475e-11,96.71433816911546,0.0020061653305506635,12.194277919107082
64800.0,326.5126508505083,1.4606194867815526e-11,96.70945067443346,0.0012115888804157537,12.24059250526497
68400.0,314.5504439001505,1.4189814468775707e-11,96.70711364040181,0.0007869742613364896,12.273026756452134
72000.0,333.5760107900032,1.1089079529342735e-11,96.71565171604917,0.0020144189167916036,12.314034358160786
75600.0,328.4640845809334,1.4112300574840864e-11,96.71121176006055,0.0014867375233756383,12.361716258630569
79200.0,313.10866690420767,1.5017586852981254e-11,96.70430931304934,0.0009782677583851712,12.396487567019996
82800.0,332.80541989933414,1.1184091801661504e-11,96.71104926532544,0.001976396876724985,12.434541455928255
86400.0,330.30224610271273,1.4079108888525715e-11,96.70844832523188,0.0017074382671536078,12.482925546247388
90000.0,312.4382249299691,1.5710373780294935e-11,96.70181052048105,0.0010605999205469173,12.518837150831004
93600.0,331.6607514012301,1.1489308266851362e-11,96.7110692193971,0.0018712949436940336,12.555394310628705
97200.0,331.7307854121488,1.4637629499979552e-11,96.71130694108777,0.0018699035418072143,12.604394600308588
100800.0,312.15822215155197,1.6332999399715275e-11,96.70559097263094,0.0010921138791199065,12.641510431440322
104400.0,329.9631103775933,1.215730524769416e-11,96.71313618840273,0.0017073768387169106,12.677699695448744
108000.0,333.0602787086708,1.498993183107529e-11,96.71581454731553,0.0020356840374324754,12.727404487569515
111600.0,312.2663229800595,1.6530551614883262e-11,96.707836969411,0.0010796717149569519,12.766089957056344
115200.0,328.28387723959685,1.3052258923696063e-11,96.7122732813399,0.0015529633838300572,12.800855812168532
118800.0,334.06272025699883,1.453775933066133e-11,96.71572743421274,0.0021526065217844625,12.8485053737938
122400.0,313.1034735386439,1.5964341381483453e-11,96.70585119171687,0.0009660250940915989,12.888366644471283
126000.0,326.674450455764,1.4090148840039036e-11,96.70960759000518,0.0013871684457595732,12.922735163531346
129600.0,334.4326567553626,1.3726395909514102e-11,96.71342832374012,0.0021652733862387702,12.971233891333549
133200.0,314.61692095970443,1.479702141767862e-11,96.70505716398301,0.0007379113771323996,13.014223179192115
136800.0,324.66710897885866,1.5250040847567134e-11,96.7071307393764,0.0011379488963918776,13.047853758923171
140400.0,334.35508417816624,1.3274791620190437e-11,96.71501720564726,0.00212214519985316,13.09298176301311
144000.0,316.3836241452599,1.3588634405686108e-11,96.70886185103194,0.0005159071397787736,13.13720489969708
147600.0,323.0490175050531,1.622460060016361e-11,96.70940794893427,0.0009275557691489357,13.169818286966068
151200.0,333.6969778815365,1.3148754865088519e-11,96.71748091255871,0.0020187680961434797,13.213132673768854
154800.0,318.27193247074564,1.2490068729630701e-11,96.71216839932355,0.0002647329234089106,13.258774605446128
158400.0,321.8219972889444,1.686490891543247e-11,96.709829932206,0.0007372005117998582,13.291288138971993
162000.0,332.6304328079735,1.2966739256405323e-11,96.7175117675099,0.0018660493023011618,13.333896335296853
165600.0,320.1869964540012,1.1521896581980263e-11,96.71059004611055,0.00010723026308730765,13.381318542382727
169200.0,321.07547186731085,1.7191018916099362e-11,96.70577178018488,0.0005807335280348213,13.414068667414165
172800.0,331.1910749154108,1.2739179450305356e-11,96.71295071977292,0.0016502932066167588,13.454731383953328
176400.0,322.6216493562876,1.0670370958498797e-11,96.71013650372649,0.00041159330861415,13.502594543945188
180000.0,320.348282445573,1.744852990089036e-11,96.70542754775714,0.0003838927761651845,13.53600460178593
183600.0,329.2572099699284,1.2509093435914457e-11,96.71477977642539,0.0013833524097554835,13.575349626738937
187200.0,324.66996378111065,1.021280577930198e-11,96.71439930529537,0.0007016825890371689,13.62424776424811
190800.0,320.0681749881571,1.7456182774847415e-11,96.7087641354255,0.00024140653937251857,13.660424796109345
194400.0,327.0372694581437,1.2054262617240549e-11,96.71717917908148,0.0010829920598078634,13.69770619754392
198000.0,326.5313803773051,9.995146046891407e-12,96.71739275067927,0.0009805787617815313,13.747047986796824
201600.0,320.3705265832888,1.7062306778988763e-11,96.7098950251923,0.00023909726131999054,13.785298921477855
205200.0,324.579379744172,1.1502835133879071e-11,96.71477248569761,0.000745228463222696,13.81878117504561
208800.0,328.53926016490436,9.892830726239245e-12,96.71671074916448,0.0012901197666989103,13.86691551341309
212400.0,320.9832228176485,1.6409510289627187e-11,96.70722779256329,0.00038648744545392556,13.908117434445897
216000.0,322.1732812012857,1.125625277443499e-11,96.71111606929647,0.0003988232678158498,13.94269889857259
219600.0,330.11007104774933,1.0029154211875872e-11,96.71491252895447,0.0015327692558894878,13.991951578435517
223200.0,321.6317170174824,1.5750061993172216e-11,96.7073881264332,0.0005507258036640652,14.033905710249451
226800.0,319.807667396195,1.1723444664809757e-11,96.71200867848155,8.887903252494639e-05,14.066186162325133
230400.0,331.2292421744107,1.039982724458827e-11,96.71821604231157,0.0017278491152499288,14.113490224432706
234000.0,322.8172514675645,1.5051688109985987e-11,96.71119652611758,0.0007929491645528122,14.156132464121532
237600.0,317.21866552665983,1.2763379968247893e-11,96.71326943841609,0.000283399574869849,14.187790668868653
241200.0,332.0233262351734,1.0736074810114103e-11,96.72083904806455,0.0018982809854646814,14.233324727841907
244800.0,324.4006054386643,1.423922459766502e-11,96.71323295013858,0.0010688376148109855,14.277478491816684
248400.0,314.74219164214526,1.3766611454130976e-11,96.71219352279738,0.0006139088157150926,14.310407428530974
252000.0,332.3341801154685,1.0856683859903717e-11,96.71835261258592,0.002014478634478949,14.353206031721129
255600.0,326.31294471552775,1.3479199176051224e-11,96.71194206847001,0.0013653968654447613,14.399698472058164
259200.0,312.8431364030391,1.4448477620739364e-11,96.70772111885866,0.0008747650755988434,14.433189017012719
262800.0,332.4374333988156,1.085179475736276e-11,96.71652082097513,0.002087929418869843,14.474034434376911
266400.0,327.93829494813394,1.338303830436481e-11,96.71182582799942,0.0015866788693561082,14.521232657889122
270000.0,311.29211343523224,1.516133432462329e-11,96.70982165978425,0.0010759762953211716,14.555347757473472
273600.0,331.68072466389253,1.111158761022989e-11,96.71902906747077,0.002063549599159497,14.59557627168047
277200.0,329.6932009068738,1.4037549817207258e-11,96.71704529662352,0.0018288181531141215,14.644474765361382
280800.0,310.06048639089636,1.6083616339890008e-11,96.7122163907548,0.0012507841156501204,14.679421590226543
284400.0,330.73474624072134,1.159110338728813e-11,96.72017042297846,0.0020258795600158726,14.71841656947326
288000.0,331.35066866683445,1.494590943866309e-11,96.71948373252673,0.0020562010315454387,14.76751894422286
291600.0,309.3793234087204,1.691773656452176e-11,96.71100544868385,0.0013540767402548347,14.80224510266262
295200.0,329.7435482756215,1.2234801616840965e-11,96.7180258857991,0.0019710199980886903,14.838845684355217
298800.0,332.50503562042877,1.5231035256819914e-11,96.71713092366292,0.0022026314790266673,14.889152592650401
302400.0,309.570489495035,1.717280178421468e-11,96.70879509733751,0.0012910284615975536,14.927528408408637
306000.0,328.16255466117025,1.3044017073265967e-11,96.71418612574953,0.0018098146940755207,14.963852601221651
