Elapsed_s,Altitude_km,Density_kg_m3,Inclination_deg,Eccentricity,RAAN_deg
0.0,260.0000672843646,5.7020971213547505e-11,96.7,9.99999993922529e-09,11.500000000000002
3600.0,268.64771605636156,4.5012281555672716e-11,96.70707071909038,0.001138334403283965,11.538546477472114
7200.0,267.6378328432467,3.6517412854941704e-11,96.7085149080343,0.0010190244419074031,11.588817762421675
10800.0,259.65291587896155,5.83604250607631e-11,96.70171106612905,8.310314063962757e-05,11.625228435635496
14400.0,269.21928596514397,4.4610620157643827e-11,96.71159890529758,0.0012874661887904422,11.664356365963007
18000.0,265.96555773947665,3.9221956477770565e-11,96.7111598065004,0.0008325732611170469,11.715331805691447
21600.0,259.519285726529,5.947026578364816e-11,96.70522294631321,0.00018410324147197753,11.752566196381457
25200.0,269.7183990611891,4.4848348717829005e-11,96.71406462100484,0.001420568309134876,11.792057265591762
28800.0,264.26073838681094,4.2388328069384174e-11,96.71089044236304,0.000646284222074684,11.842217648449816
32400.0,259.5353401493347,6.025305297321612e-11,96.70515025858994,0.0002906542422216447,11.878359197179707
36000.0,270.09065386621825,4.561814568965173e-11,96.71143429363264,0.0015195520241484818,11.917616720567977
39600.0,262.9889796158412,4.457133225842346e-11,96.70889501660217,0.0005334143318976081,11.968229969284586
43200.0,259.3858655823597,6.085320089875949e-11,96.7015765179564,0.0003692650436512285,12.005323891871337
46800.0,270.7704714720728,4.593930474451418e-11,96.71073268257283,0.0016641092969285165,12.047195249861483
50400.0,261.5269776731555,4.614889146931186e-11,96.70671679543523,0.00041154195637585765,12.097339505782742
54000.0,259.0968660860997,6.132050741465708e-11,96.70343338766477,0.0004525073590141503,12.132211096095917
57600.0,271.0026284901954,4.6676714136200255e-11,96.71366647699001,0.0017633600154503771,12.173699104824628
61200.0,259.98322037792553,4.7939159353881874e-11,96.7093664918582,0.000268805775539186,12.222741771782998
64800.0,259.3153644255351,6.056738350230002e-11,96.7067747854911,0.0005481851847358417,12.256721857010444
68400.0,271.0694935028953,4.7488909159817924e-11,96.71555086936489,0.0018479110529367505,12.299270267258626
72000.0,258.29050942381815,5.096037543034974e-11,96.71065258873149,0.000161173983650196,12.347959695865072
75600.0,259.7841493231612,5.906867700061146e-11,96.70685700781137,0.0006762396299604232,12.381531483978096
79200.0,271.28893314467007,4.8158809450545275e-11,96.71430720432949,0.0019614877032606798,12.426324298150545
82800.0,256.572750197913,5.558625127485788e-11,96.70573560378502,0.00022652604155799002,12.474490589976043
86400.0,260.26349948850134,5.748474978349854e-11,96.70316175265336,0.0008086292204428342,12.50625561447723
90000.0,271.2632721137822,4.914955565940534e-11,96.71113796136277,0.0020252442788958455,12.552120628484602
93600.0,255.1467260984951,6.073122727250064e-11,96.70602060323209,0.0003408822553121398,12.599092652953649
97200.0,260.5554198327657,5.636902059422394e-11,96.70611058220027,0.0009177884320903065,12.631922262792301
100800.0,271.2510255475623,5.011625722258193e-11,96.71528847982158,0.0021018915982978603,12.678644073206712
104400.0,253.3978717532703,6.585560831033316e-11,96.70871733642456,0.0005235246024845042,12.725163966553206
108000.0,260.97481081590564,5.5371443771429936e-11,96.7098790585652,0.001055987054967413,12.759528165695937
111600.0,271.11848922529936,5.116916206069569e-11,96.7175066092978,0.002165196748504659,12.80725270053507
115200.0,251.72564402081676,6.945495231098209e-11,96.70885450376339,0.0007042816505785782,12.851727666786585
118800.0,261.5648610744211,5.4271005884543826e-11,96.70968056216829,0.0012054203877279533,12.885704818895457
122400.0,270.76641997962787,5.229240506961094e-11,96.71453772170133,0.0021945945529013716,12.933362602234714
126000.0,250.55731318482583,7.140056605635881e-11,96.70602944086701,0.0007937128798364724,12.977834583178675
129600.0,262.00103923726437,5.317757083993608e-11,96.70722012723694,0.0013153667461845535,13.013275977801523
133200.0,270.37500833141905,5.286089787709984e-11,96.7130850636169,0.002203132466226744,13.06312878979233
136800.0,249.53994922423217,7.344252943899239e-11,96.70471476702653,0.0008689741900296786,13.106148303239495
